route_Name,busname,bus_desc,bustype,starttime,endtime,duration,dploc,ratings,fare,seats,Bus_Name,Bus_Id,Seat_Type,Actype,dur_in_min,Orgin,End
Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30:00,16:30:00,05h 00m,Rtc bus stand,3.6,670,26,APSRTC,Government Bus,Unknown,AC,300,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30:00,18:05:00,06h 35m,Auto Nagar,4,469,34,APSRTC,Government Bus,Unknown,AC,395,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),12:15:00,18:25:00,06h 10m,Rtc bus stand,3.8,720,40,APSRTC,Government Bus,Unknown,AC,370,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),12:30:00,20:35:00,08h 05m,Auto Nagar,2.5,469,28,APSRTC,Government Bus,Unknown,AC,485,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),13:00:00,21:00:00,08h 00m,Auto Nagar,2,469,32,APSRTC,Government Bus,Unknown,AC,480,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),13:00:00,19:09:00,06h 09m,Rtc bus stand,3.7,567,34,APSRTC,Government Bus,Unknown,AC,369,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),13:00:00,19:45:00,06h 45m,Rtc bus stand,4,469,32,APSRTC,Government Bus,Unknown,AC,405,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),13:50:00,18:50:00,05h 00m,Rtc bus stand,3.4,436,12,APSRTC,Government Bus,Unknown,AC,300,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00:00,20:35:00,06h 35m,Auto Nagar,2.7,436,33,APSRTC,Government Bus,Unknown,AC,395,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00:00,20:04:00,06h 04m,Rtc bus stand,4.1,720,44,APSRTC,Government Bus,Unknown,AC,364,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:30:00,21:00:00,06h 30m,Auto Nagar,4.5,436,33,APSRTC,Government Bus,Unknown,AC,390,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:30:00,21:00:00,06h 30m,Rtc bus stand,2.8,469,34,APSRTC,Government Bus,Unknown,AC,390,Vijayawada,Hyderabad
