state,route_name,busname,bustype,departing_time,reaching_time,duration,dploc,star_rating,price,seats_available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,Rtc bus stand,4.0,INR 720,11 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,20:35,06h 35m,Auto Nagar,2.7,INR 436,33 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,Rtc bus stand,3.8,INR 720,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3825,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,Rtc bus stand,2.8,INR 469,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,Auto Nagar,4.6,INR 436,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3525,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,23:00,08h 00m,Auto Nagar,3.7,INR 469,33 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,Rtc bus stand,3.9,INR 670,34 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,23:15,08h 00m,NIDAMANUR,4.0,INR 469,33 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,Rtc bus stand,4.0,INR 720,17 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4052,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:00,06h 30m,Auto Nagar,3.8,INR 436,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,Rtc bus stand,3.3,INR 567,29 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,Rtc bus stand,4.4,INR 720,18 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,Rtc bus stand,3.4,INR 720,27 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,Rtc bus stand,4.3,INR 720,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,Rtc bus stand,4.0,INR 720,42 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,02:42,07h 42m,Auto Nagar,3.1,INR 469,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,04:10,07h 50m,Auto Nagar,4.1,INR 469,18 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,Rtc bus stand,3.9,INR 670,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,03:40,06h 40m,Auto Nagar,4.2,INR 469,14 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:41,07h 41m,Auto Nagar,4.8,INR 469,20 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,05:20,07h 40m,Auto Nagar,2.6,INR 469,18 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 40568,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:42,06:00,08h 18m,PRODDUTUR X ROAD-VJA,4.5,INR 469,25 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,02:50,05h 05m,Rtc bus stand,4.2,INR 469,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:20,04h 35m,Rtc bus stand,4.7,INR 781,16 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:52,04:00,06h 08m,PORANKI,4.0,INR 469,13 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,03:42,05h 42m,Rtc bus stand,4.3,INR 720,36 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3908,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:25,06h 25m,Auto Nagar,3.8,INR 469,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4320,INDRA(A.C. Seater),22:00,04:25,06h 25m,Rtc bus stand,3.0,INR 567,17 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4048,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:20,06h 20m,Auto Nagar,4.6,INR 469,16 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35118,INDRA(A.C. Seater),22:05,04:50,06h 45m,NIDAMANUR,4.0,INR 567,28 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4792,INDRA(A.C. Seater),22:05,05:10,07h 05m,Enikepadu,3.3,INR 567,14 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:05,05:20,07h 15m,PORANKI,4.0,INR 469,13 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,02:50,04h 35m,Rtc bus stand,3.7,INR 781,26 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,05:30,07h 15m,Auto Nagar,3.7,INR 607,8 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:40,06h 25m,PORANKI,4.0,INR 720,35 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:20,04:55,06h 35m,Rtc bus stand,4.1,INR 469,21 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3943,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,05:25,07h 00m,PORANKI,4.1,INR 469,10 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35063,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,06:10,07h 45m,GANGURU CHAITANYA COLLEGE-VJA,3.4,INR 469,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:10,05h 40m,Rtc bus stand,4.2,INR 720,28 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,04:25,05h 55m,PORANKI,4.3,INR 607,9 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3910,INDRA(A.C. Seater),22:30,03:05,04h 35m,Rtc bus stand,3.6,INR 567,24 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 95660,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:40,05:15,06h 35m,IBRAHIMPATNAM-VJA,2.2,INR 446,15 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,04:16,05h 31m,Rtc bus stand,4.2,INR 607,18 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3838,VENNELA (A.C. SLEEPER),22:45,04:20,05h 35m,Rtc bus stand,3.3,INR 839,15 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3609,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:46,06:40,07h 54m,PRODDUTUR X ROAD-VJA,4.3,INR 469,23 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,05:35,06h 40m,PORANKI,4.1,INR 639,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,05:25,06h 30m,PORANKI,3.6,INR 567,19 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3694,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,06:15,07h 20m,PORANKI,4.4,INR 469,4 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,05:05,06h 10m,PORANKI,2.6,INR 567,12 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,03:35,04h 35m,Rtc bus stand,4.2,INR 781,14 Seats available
