state,route_name,busname,bustype,departing_time,reaching_time,duration,dploc,star_rating,price,seats_available,transport,transport_mode,Seat_Type,Actype,dur_in_min,from,to
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,Rtc bus stand,4.0,720.0,11,APSRTC,Government Bus,Unknown,AC,364,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,20:35,06h 35m,Auto Nagar,2.7,436.0,33,APSRTC,Government Bus,Push Back,AC,395,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,Rtc bus stand,3.8,720.0,19,APSRTC,Government Bus,Unknown,AC,360,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3825,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,Rtc bus stand,2.8,469.0,31,APSRTC,Government Bus,Push Back,AC,390,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,21:00,06h 30m,Auto Nagar,4.6,436.0,30,APSRTC,Government Bus,Push Back,AC,390,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3525,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,23:00,08h 00m,Auto Nagar,3.7,469.0,33,APSRTC,Government Bus,Push Back,AC,480,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,Rtc bus stand,3.9,670.0,34,APSRTC,Government Bus,Unknown,AC,300,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,23:15,08h 00m,NIDAMANUR,4.0,469.0,33,APSRTC,Government Bus,Push Back,AC,480,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,Rtc bus stand,4.0,720.0,17,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4052,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:00,06h 30m,Auto Nagar,3.8,436.0,31,APSRTC,Government Bus,Push Back,AC,390,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,Rtc bus stand,3.3,567.0,29,APSRTC,Government Bus,Seater,AC,350,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,Rtc bus stand,4.4,720.0,18,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,Rtc bus stand,3.4,720.0,27,APSRTC,Government Bus,Unknown,AC,350,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,Rtc bus stand,4.3,720.0,31,APSRTC,Government Bus,Unknown,AC,352,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,Rtc bus stand,4.0,720.0,42,APSRTC,Government Bus,Unknown,AC,360,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,02:42,07h 42m,Auto Nagar,3.1,469.0,31,APSRTC,Government Bus,Push Back,AC,462,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,04:10,07h 50m,Auto Nagar,4.1,469.0,18,APSRTC,Government Bus,Push Back,AC,470,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,Rtc bus stand,3.9,670.0,31,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,03:40,06h 40m,Auto Nagar,4.2,469.0,14,APSRTC,Government Bus,Push Back,AC,400,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:41,07h 41m,Auto Nagar,4.8,469.0,20,APSRTC,Government Bus,Push Back,AC,461,Vijayawada,Hyderabad
Andhra Pradesh,Vijayawada to Hyderabad,APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,05:20,07h 40m,Auto Nagar,2.6,469.0,18,APSRTC,Government Bus,Push Back,AC,460,Vijayawada,Hyderabad
